,tag_category,tag_value,keywords
0,主题相关性,1,"吃杨梅,仙居杨梅,仓鼠日常,杨梅,深圳汽车贴膜"
1,主题相关性,2,"薯队长,消遣,牛肉粒,一大包,健身,健身日记,牛肉吃多了,City’super蛋卷,独立小包装,食物选择,没胃口,孕早期,居家锻炼,拯救不开心,餐厅氛围,避雷,重庆探店,减肥饮食记录,健身日常,总减体重,最近巨巨馋零食,明天会多准备一点肉,三明治,自制可可芒果燕麦奶酥球,早餐就爱三明治,一大碗,面包控,一般,不好吃,还行吧,真好吃,碳水,午餐,今日,饮食加运动,希望后面也能保持,龍舌兰龅牙,只吃好单调哦,还好我有青梅半甜酒,我的运动日常,京酱肉丝,我的追剧宝藏零食,美食,没来得及拍照,希望明天是美好的一天,吃零食,总感觉吃不饱,零食日常,零食分享,个人口味,回购,学校生活,运动,SEVENTEEN成员,一大盒新鲜蔓越莓干,半流食复食,food,考试,学习日常,减肥,放纵,拒绝成功,凤爪的品质,值得买,品质不错,每次必点,个人不太喜欢,真的够酸爽,美食,减肥餐,#考试上岸#,减脂主食,第一次做,可爱,软"
2,主题相关性,3,"减脂期的福音,零食,感受,美美的环境,好吃,分享,鳝溪徒步,创意组合,小吃,和气桃桃,水煮菜,凤爪烧排骨,孕期控糖,铁板烧,野餐必备物品,欧洲留学,街头美食,5-6公里,推荐指数,决定开始,冷链发货,欧洲,榴莲口味,抹茶口味,精酿啤酒品酒笔记,晨重,鸡蛋饼菜饼,手撕面包,一个冲的大动作😼,今天吃什么,怀孕,#每秒都值得记录#,#麻薯#,饮食记录,下午茶零食,真的喜欢,精酿啤酒爱好者,孕期,真的好适合,开胃,#蘸酱麻薯#,孕期零食,孕期饮食,每日坚果,每日饮食,浙江音乐学院,真正的可可脂巧克力,宠物蛋糕,自制宠物奶酪,给大家分享,酒店自助,办公室零食,飞机餐,个人经验,追剧,#在校减肥#,吃喝玩乐,感觉上一家的肠粉更厚实一点,减肥减脂吃这些,减脂餐,必须让大家hao到,点了4杯,生活愉快,拍照,朋友小聚,简直太上头了,推荐,健康无负担,手绘菜单,烧仙草插画,当天吃,美食之土鸡,探店,糖水店,"
3,人物类型,00后,00后
4,人物类型,30岁及以上女性,"30岁的女人,40岁的女人"
5,人物类型,8090后个人,8090后的小时候回忆
6,人物类型,80后,"那一代人,80后美食店"
7,人物类型,90后创业者,90后
8,人物类型,90后女性，可能有伴侣，单身母亲候选,"90后裸辞,独居,军嫂,姐妹们,已婚,30岁"
9,人物类型,90后群体,90后童年零食
10,人物类型,DIY爱好者,"师傅,麻花自制,自己装,我,贝儿改娃,厨房小白"
11,人物类型,一人食,"一人食吃什么#,一人小炉子,一人食吃什么,减肥减脂吃这些,一人食吃什么,一人食吃什么,一人食吃什么"
12,人物类型,一般人群,"适合更多的人,邻居们都说好喝食材又好,补气血,零食推荐,日常,上班族,追剧小零食,加班,我的追剧宝藏零食,办公室,亲身体验,追剧,一人食,在办公室,宿舍,零食控,健康养颜,气血不足,办公室零食,追剧必备,女生,学生,健康,虚胖,美食爱好者,追剧小零食,健康零食,孕妇,困乏,胃口不好,追剧,自己穿,体虚寒者,追剧者,减脂,喜欢吃酸甜口姐妹,你,女生,你的crush,吃了甜食会开心,回味无穷,细腻的口感,零食推荐,儿童零食,办公室,所有人都适用,尤其爱吃酸的姐妹,肠蠕动功能减弱导致的便秘,老人,正在服药期间的病人,对早生白发也很有益,平时出门,大家,潮汕朋友给我安利,孕妇,喜欢的食材,送对象,宝宝叶黄素,你,几分钟就能搞定,营养均衡,产妇,美味可口,朋友,经期女性,你,办公室零食,追剧小零食,美食爱好者,孕妇零食,黄皮美白,追剧小粉丝,减肥减脂,有没有喝过的宝宝,嘴巴寂寞了,大家,小"
13,人物类型,"一般人群, 不规律饮食者",饮食不规律
14,人物类型,"一般人群, 减肥者",减肥减脂
15,人物类型,"一般人群, 甜品爱好者","看到它的第一眼,甜品爱好者"
16,人物类型,"一般人群, 脾胃虚弱者",脾虚患者
17,人物类型,"一般人群, 追剧爱好者",我的追剧宝藏零食
18,人物类型,"一般人群, 追剧者",追剧必备
19,人物类型,"一般人群,上班族","办公室零食,追剧小零食,早餐,下午茶时间,工作间歇"
20,人物类型,"一般人群,体虚者","失眠脱发,易感冒,腰膝酸冷,体虚疲劳,手脚冰凉"
21,人物类型,"一般人群,健康关注者","咳嗽,润润嗓子,健康养生"
22,人物类型,"一般人群,健康意识强者","管理期,减脂,低卡"
23,人物类型,"一般人群,健康追求者","减肥日常,祛湿,零食推荐,补气血,养生,滋补,健康零食"
24,人物类型,"一般人群,可能上班族","办公室,追剧"
25,人物类型,"一般人群,可能减肥者",军训生
26,人物类型,一般人群，可能包括健康意识强的人,"低卡,吃货们"
27,人物类型,"一般人群,可能包括健身者","追剧必备小零食,蛋白棒"
28,人物类型,"一般人群,可能包括爱美人士",那些爱睡觉却不节食的瘦MM
29,人物类型,"一般人群,可能包括辣条爱好者",喜欢吃辣条的朋友
30,人物类型,"一般人群,可能包括追剧爱好者","我的追剧宝藏零食,追剧必备小零食,追剧小零食,我的追剧宝藏零食,追剧必备"
31,人物类型,"一般人群,喉咙不适者","#咳嗽#,对嗓子不舒服咳嗽等超级好,#宝宝咳嗽#"
32,人物类型,"一般人群,娱乐人群","追剧,办公室"
33,人物类型,"一般人群,孕妇","孕期,孕期零食"
34,人物类型,"一般人群,学生","宿舍党,大人小孩都爱吃,宿舍零食,办公室零食"
35,人物类型,"一般人群,熬夜党",熬夜党
36,人物类型,一般人群，特别是喜欢柿子的人,喜欢吃柿子的姐妹
37,人物类型,"一般人群,特别是女性","更年期女性,女性荷尔蒙"
38,人物类型,"一般人群,追剧爱好者",追剧小零食
39,人物类型,一般人群（包括孕妇和老人）,"解决老人便秘,孕妇便秘"
40,人物类型,一般人群/健康关注者,"便塘泄泻,面黄肌瘦,脾胃虚弱"
41,人物类型,一般人群/孕妇,"日常食用,孕妇"
42,人物类型,一般人群/朋友,朋友们
43,人物类型,一般人群/消费者,我一次能吃一包
44,人物类型,一般人群/美食爱好者,大家
45,人物类型,一般人群/节日礼物,伴手礼
46,人物类型,一般公众,"我的日常,大家出去玩,探店,标记我的生活"
47,人物类型,一般受众,"美食,拿到手,面包控"
48,人物类型,一般大众,"食客,#未定事件簿#左然,#左然棉花娃娃#,#未定事件簿左然#,快滴来试下啦,@CatLover_4CatsLiveClips,想食又聰明的你,食肉兽,吃货必备,零食分享,零食推荐,吃货薯,吃货,小红书爆款零食,宿舍零食,办公室零食,你想来一份儿,最爱,如果人手够送地铁口可以拿,谁能拒绝,谁都能拒绝"
